Groupe :,St Pierre,,,,,,
Année :,2017/2018,,,,,,
Image,Nom,Prénom,Tel fixe,GSM,Email,Région,Pupitre
poney.jpg,Family,Name,262598036,,em@ai.ll,Tampon,Alto
,Jackson,Michael,,4241489344,mf@dagrut.info,19eme,Ténor <b>1</b>
davincicode.jpg,Bob1,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob2,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob3,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob4,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob5,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob6,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob7,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob8,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob9,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob10,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob11,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob12,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob13,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob14,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
davincicode.jpg,Bob15,Erman,262598036,838437921,bob@erman.bobrr,St Louis,Soprano
